Latrocínio; Janeiro; 31; 0
Homicídio por intervenção policial; Janeiro; 31; 5
Letalidade Violenta; Janeiro; 31; 10
Estupro; Janeiro; 31; 4
Roubos; Janeiro; 31; 355
Furtos; Janeiro; 31; 58
Sequestro; Janeiro; 31; 0
Estelionato; Janeiro; 31; 31
Apreensão de Drogas; Janeiro; 31; 4
Tráfico de Drogas; Janeiro; 31; 2
Registro de Ocorrências; Janeiro; 31; 763
Homicídio Doloso; Janeiro; 32; 3
Latrocínio; Janeiro; 32; 0
Homicídio por intervenção policial; Janeiro; 32; 0
Letalidade Violenta; Janeiro; 32; 3
Estupro; Janeiro; 32; 9
Roubos; Janeiro; 32; 254
Furtos; Janeiro; 32; 355
Sequestro; Janeiro; 32; 0
Estelionato; Janeiro; 32; 92
Apreensão de Drogas; Janeiro; 32; 2
Tráfico de Drogas; Janeiro; 32; 1
Registro de Ocorrências; Janeiro; 32; 1392
Homicídio Doloso; Janeiro; 33; 1
Latrocínio; Janeiro; 33; 0
Homicídio por intervenção policial; Janeiro; 33; 2
Letalidade Violenta; Janeiro; 33; 3
Estupro; Janeiro; 33; 8
Roubos; Janeiro; 33; 497
Furtos; Janeiro; 33; 170
Sequestro; Janeiro; 33; 0
Estelionato; Janeiro; 33; 94
Apreensão de Drogas; Janeiro; 33; 8
Tráfico de Drogas; Janeiro; 33; 4
Registro de Ocorrências; Janeiro; 33; 1136
Homicídio Doloso; Janeiro; 34; 8
Latrocínio; Janeiro; 34; 1
Homicídio por intervenção policial; Janeiro; 34; 11
Letalidade Violenta; Janeiro; 34; 20
Estupro; Janeiro; 34; 10
Roubos; Janeiro; 34; 575
Furtos; Janeiro; 34; 226
Sequestro; Janeiro; 34; 0
Estelionato; Janeiro; 34; 103
Apreensão de Drogas; Janeiro; 34; 78
Tráfico de Drogas; Janeiro; 34; 37
Registro de Ocorrências; Janeiro; 34; 1632
Homicídio Doloso; Janeiro; 35; 1
Latrocínio; Janeiro; 35; 0
Homicídio por intervenção policial; Janeiro; 35; 0
Letalidade Violenta; Janeiro; 35; 1
Estupro; Janeiro; 35; 13
Roubos; Janeiro; 35; 332
Furtos; Janeiro; 35; 294
Sequestro; Janeiro; 35; 0
Estelionato; Janeiro; 35; 118
Apreensão de Drogas; Janeiro; 35; 3
Tráfico de Drogas; Janeiro; 35; 2
Registro de Ocorrências; Janeiro; 35; 1526
Homicídio Doloso; Janeiro; 36; 2
Latrocínio; Janeiro; 36; 0
Homicídio por intervenção policial; Janeiro; 36; 0
Letalidade Violenta; Janeiro; 36; 3
Estupro; Janeiro; 36; 9
Roubos; Janeiro; 36; 90
Furtos; Janeiro; 36; 110
Sequestro; Janeiro; 36; 0
Estelionato; Janeiro; 36; 47
Apreensão de Drogas; Janeiro; 36; 5
Tráfico de Drogas; Janeiro; 36; 2
Registro de Ocorrências; Janeiro; 36; 609
Homicídio Doloso; Janeiro; 37; 4
Latrocínio; Janeiro; 37; 1
Homicídio por intervenção policial; Janeiro; 37; 0
Letalidade Violenta; Janeiro; 37; 5
Estupro; Janeiro; 37; 3
Roubos; Janeiro; 37; 87
Furtos; Janeiro; 37; 163
Sequestro; Janeiro; 37; 0
Estelionato; Janeiro; 37; 41
Apreensão de Drogas; Janeiro; 37; 4
Tráfico de Drogas; Janeiro; 37; 4
Registro de Ocorrências; Janeiro; 37; 597
Homicídio Doloso; Janeiro; 38; 4
Latrocínio; Janeiro; 38; 0
Homicídio por intervenção policial; Janeiro; 38; 5
Letalidade Violenta; Janeiro; 38; 9
Estupro; Janeiro; 38; 4
Roubos; Janeiro; 38; 256
Furtos; Janeiro; 38; 94
Sequestro; Janeiro; 38; 0
Estelionato; Janeiro; 38; 30
Apreensão de Drogas; Janeiro; 38; 5
Tráfico de Drogas; Janeiro; 38; 5
Registro de Ocorrências; Janeiro; 38; 645
Homicídio Doloso; Janeiro; 39; 8
Latrocínio; Janeiro; 39; 1
Homicídio por intervenção policial; Janeiro; 39; 3
Letalidade Violenta; Janeiro; 39; 12
Estupro; Janeiro; 39; 4
Roubos; Janeiro; 39; 567
Furtos; Janeiro; 39; 61
Sequestro; Janeiro; 39; 0
Estelionato; Janeiro; 39; 33
Apreensão de Drogas; Janeiro; 39; 8
Tráfico de Drogas; Janeiro; 39; 7
Registro de Ocorrências; Janeiro; 39; 1093
Homicídio Doloso; Janeiro; 40; 3
Latrocínio; Janeiro; 40; 0
Homicídio por intervenção policial; Janeiro; 40; 1
Letalidade Violenta; Janeiro; 40; 4
Estupro; Janeiro; 40; 0
Roubos; Janeiro; 40; 263
Furtos; Janeiro; 40; 77
Sequestro; Janeiro; 40; 0
Estelionato; Janeiro; 40; 20
Apreensão de Drogas; Janeiro; 40; 3
Tráfico de Drogas; Janeiro; 40; 3
Registro de Ocorrências; Janeiro; 40; 552
Homicídio Doloso; Janeiro; 41; 0
Latrocínio; Janeiro; 41; 0
Homicídio por intervenção policial; Janeiro; 41; 0
Letalidade Violenta; Janeiro; 41; 0
Estupro; Janeiro; 41; 8
Roubos; Janeiro; 41; 69
Furtos; Janeiro; 41; 135
Sequestro; Janeiro; 41; 0
Estelionato; Janeiro; 41; 55
Apreensão de Drogas; Janeiro; 41; 1
Tráfico de Drogas; Janeiro; 41; 1
Registro de Ocorrências; Janeiro; 41; 524
Homicídio Doloso; Janeiro; 42; 2
Latrocínio; Janeiro; 42; 0
Homicídio por intervenção policial; Janeiro; 42; 0
Letalidade Violenta; Janeiro; 42; 2
Estupro; Janeiro; 42; 5
Roubos; Janeiro; 42; 123
Furtos; Janeiro; 42; 365
Sequestro; Janeiro; 42; 0
Estelionato; Janeiro; 42; 71
Apreensão de Drogas; Janeiro; 42; 47
Tráfico de Drogas; Janeiro; 42; 4
Registro de Ocorrências; Janeiro; 42; 947
Homicídio Doloso; Janeiro; 43; 1
Latrocínio; Janeiro; 43; 0
Homicídio por intervenção policial; Janeiro; 43; 0
Letalidade Violenta; Janeiro; 43; 1
Estupro; Janeiro; 43; 6
Roubos; Janeiro; 43; 63
Furtos; Janeiro; 43; 97
Sequestro; Janeiro; 43; 0
Estelionato; Janeiro; 43; 20
Apreensão de Drogas; Janeiro; 43; 0
Tráfico de Drogas; Janeiro; 43; 0
Registro de Ocorrências; Janeiro; 43; 462
Homicídio Doloso; Janeiro; 44; 3
Latrocínio; Janeiro; 44; 1
Homicídio por intervenção policial; Janeiro; 44; 1
Letalidade Violenta; Janeiro; 44; 5
Estupro; Janeiro; 44; 0
Roubos; Janeiro; 44; 265
Furtos; Janeiro; 44; 101
Sequestro; Janeiro; 44; 0
Estelionato; Janeiro; 44; 16
Apreensão de Drogas; Janeiro; 44; 3
Tráfico de Drogas; Janeiro; 44; 2
Registro de Ocorrências; Janeiro; 44; 535
Homicídio Doloso; Fevereiro; 1; 0
Latrocínio; Fevereiro; 1; 0
Homicídio por intervenção policial; Fevereiro; 1; 0
Letalidade Violenta; Fevereiro; 1; 0
Estupro; Fevereiro; 1; 0
Roubos; Fevereiro; 1; 168
Furtos; Fevereiro; 1; 339
Sequestro; Fevereiro; 1; 0
Estelionato; Fevereiro; 1; 159
Apreensão de Drogas; Fevereiro; 1; 29
Tráfico de Drogas; Fevereiro; 1; 2
Registro de Ocorrências; Fevereiro; 1; 906
Homicídio Doloso; Fevereiro; 4; 1
Latrocínio; Fevereiro; 4; 0
Homicídio por intervenção policial; Fevereiro; 4; 0
Letalidade Violenta; Fevereiro; 4; 1
Estupro; Fevereiro; 4; 0
Roubos; Fevereiro; 4; 105
Furtos; Fevereiro; 4; 239
Sequestro; Fevereiro; 4; 0
Estelionato; Fevereiro; 4; 19
Apreensão de Drogas; Fevereiro; 4; 9
Tráfico de Drogas; Fevereiro; 4; 2
Registro de Ocorrências; Fevereiro; 4; 548
Homicídio Doloso; Fevereiro; 5; 3
Latrocínio; Fevereiro; 5; 0
Homicídio por intervenção policial; Fevereiro; 5; 0
Letalidade Violenta; Fevereiro; 5; 3
Estupro; Fevereiro; 5; 2
Roubos; Fevereiro; 5; 388
